"system_id","subsystem_id","system_name","system_serial_number","system_install_date","description","operating_system","latest_patch_level","latest_patch_date"
"AUS-SYS-001","SS-AUS-001","Cloudera Data Platform (Primary Cluster)","CDH-AUS-7X-00142","2019-04-15","Cloudera Data Platform — primary Hadoop data lake cluster (12-node) holding 5 years of manufacturing batch records, sensor telemetry, QC results and production metrics","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-002","SS-AUS-001","Cloudera Data Platform (Secondary Cluster)","CDH-AUS-7X-00143","2019-04-15","Cloudera Data Platform — secondary Hadoop data lake cluster (8-node) providing high availability and data replication for the primary lake","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-003","SS-AUS-001","CDP Edge Node","CDH-AUS-EDGE-001","2019-05-02","Cloudera Edge node — gateway server managing data ingestion pipelines from manufacturing floor systems into the Hadoop data lake","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-004","SS-AUS-001","Apache Knox Gateway","CDH-AUS-KNOX-001","2020-01-14","Apache Knox gateway providing perimeter security and REST API access control for the Hadoop data lake cluster","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-005","SS-AUS-001","NetApp AFF A400 Storage","NFS-AUS-STOR-001","2019-04-10","NetApp AFF A400 storage array providing NFS backing store for Hadoop NameNode metadata and HDFS persistent volumes","NetApp ONTAP","9.13.1P4","2024-09-15"
"AUS-SYS-006","SS-AUS-001","Apache Spark","SPARK-AUS-001","2021-06-20","Apache Spark on YARN cluster for large-scale batch analytics and machine learning over manufacturing data lake content","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-007","SS-AUS-001","Apache Kafka","KAFKA-AUS-001","2020-08-11","Apache Kafka cluster (3-broker) for real-time streaming of shop-floor sensor data and MES events into the data lake","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-008","SS-AUS-001","Apache Hive","HIVE-AUS-001","2019-07-03","Apache Hive metastore and query engine providing SQL access to manufacturing data lake tables for reporting and analytics teams","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-009","SS-AUS-004","SAP S/4HANA","SN-SAP-AU-20180923","2018-09-23","SAP S/4HANA ERP — finance, procurement, inventory management, production planning and cost accounting for the Austin plant","SUSE Linux Enterprise Server 15 SP5","2024.Q3","2024-09-30"
"AUS-SYS-010","SS-AUS-004","SAP HANA Database","SN-HANA-AU-20180923","2018-09-23","SAP HANA in-memory database appliance providing the persistence layer for the Austin SAP S/4HANA ERP instance","SUSE Linux Enterprise Server 15 SP5","2024.Q3","2024-09-30"
"AUS-SYS-011","SS-AUS-005","Oracle Order Management","SN-OMS-AU-20200310","2020-03-10","Order management system (Oracle Order Management Cloud) handling customer order entry, fulfilment workflow and order status tracking","Oracle Linux 8.9","8.9","2024-10-05"
"AUS-SYS-012","SS-AUS-005","Manhattan WMS","SN-WMS-AU-20200315","2020-03-15","Warehouse management system (Manhattan Associates WMS) managing inbound receipts, put-away, pick, pack and despatch of finished pharmaceutical goods","Red Hat Enterprise Linux 8.9","8.9","2024-10-03"
"AUS-SYS-013","SS-AUS-005","Oracle TMS","SN-TMS-AU-20211004","2021-10-04","Transportation management system (Oracle TMS) for carrier selection, shipment planning and delivery tracking of outbound orders","Oracle Linux 8.9","8.9","2024-10-05"
"AUS-SYS-014","SS-AUS-006","SAP Ariba SRM","SN-SRM-AU-20190617","2019-06-17","Supplier relationship management portal (SAP Ariba) for purchase orders, supplier onboarding, contract management and supplier performance scoring","SaaS","2024.Q4","2024-10-01"
"AUS-SYS-015","SS-AUS-006","OpenText Trading Grid EDI","SN-EDI-AU-20190620","2019-06-20","EDI gateway (OpenText Trading Grid) for automated B2B document exchange — purchase orders, ASNs and invoices — with suppliers and 3PL partners","Windows Server 2022","22H2","2024-09-18"
"AUS-SYS-016","SS-AUS-007","Salesforce Sales Cloud CRM","SN-CRM-AU-20200901","2020-09-01","Salesforce Sales Cloud CRM managing pharmaceutical distributor and hospital key accounts, opportunity pipeline and order forecasting for the US region","SaaS","Winter '25","2024-10-12"
"AUS-SYS-017","SS-AUS-007","Salesforce Marketing Cloud","SN-MKT-AU-20210215","2021-02-15","Salesforce Marketing Cloud for campaign management, email marketing and HCP engagement tracking across the US market","SaaS","Winter '25","2024-10-12"
"AUS-SYS-018","SS-AUS-007","ServiceNow Customer Service Management","SN-CSS-AU-20220601","2022-06-01","ServiceNow Customer Service Management for post-sale customer support, product complaint intake and field corrective action tracking","SaaS","Xanadu","2024-10-08"
"AUS-SYS-019","SS-AUS-008","Workday Human Capital Management","SN-HCM-AU-20190301","2019-03-01","Workday Human Capital Management for employee records, benefits, payroll, performance reviews and recruitment for the Austin plant workforce","SaaS","2024.Q4","2024-10-01"
"AUS-SYS-020","SS-AUS-008","Cornerstone OnDemand LMS","SN-LMS-AU-20200110","2020-01-10","Cornerstone OnDemand learning management system for GMP training compliance, role-based curricula and training record management","SaaS","2024.10","2024-10-07"
"AUS-SYS-021","SS-AUS-008","UKG Dimensions","SN-TNA-AU-20190305","2019-03-05","UKG Dimensions time and attendance system integrated with shift scheduling, overtime management and Austin plant payroll","SaaS","2024.Q4","2024-10-01"
"AUS-SYS-022","SS-AUS-002","Siemens Opcenter MES","SN-MES-AU-20180601","2018-06-01","Siemens Opcenter MES managing electronic batch records, production orders, in-process sampling and shop-floor genealogy for the Austin manufacturing lines","Windows Server 2022","22H2","2024-09-20"
"AUS-SYS-023","SS-AUS-002","Rockwell FactoryTalk SCADA","SN-SCA-AU-20180610","2018-06-10","Rockwell Automation FactoryTalk SCADA system for real-time monitoring and control of bioreactors, filling lines and environmental systems on the Austin manufacturing floor","Windows 10 IoT Enterprise","21H2","2024-08-14"
"AUS-SYS-024","SS-AUS-003","LabWare Enterprise LIMS","SN-LIM-AU-20190820","2019-08-20","LabWare Enterprise LIMS for sample lifecycle management, analytical instrument integration, test result entry and CoA generation in the Austin QC laboratory","Red Hat Enterprise Linux 8.9","8.9","2024-10-02"
"AUS-SYS-025","SS-AUS-003","Veeva Vault QMS","SN-QMS-AU-20190901","2019-09-01","Veeva Vault QMS for deviation management, CAPA tracking, change control, supplier quality and document control in support of FDA 21 CFR Part 211 compliance","SaaS","2024.10","2024-10-01"
"AUS-SYS-026","SS-AUS-003","Veeva Vault EBR","SN-EBR-AU-20200301","2020-03-01","Veeva Vault ManualsVault electronic batch record system providing paperless batch review and release workflow integrated with the Austin MES","SaaS","2024.10","2024-10-01"
"AUS-SYS-027","SS-AUS-003","Waters Empower 3","SN-CHR-AU-20180615","2018-06-15","Waters Empower 3 chromatography data system managing HPLC and UPLC analytical instrument data for raw material and finished product QC testing","Windows 10 Enterprise","22H2","2024-09-25"
"AUS-SYS-028","SS-AUS-002","Honeywell Building Manager","SN-ENV-AU-20200601","2020-06-01","Honeywell Building Manager environmental monitoring system for cleanroom temperature, humidity, differential pressure and particle count continuous monitoring","Embedded Linux","4.1.2","2024-07-30"
"AUS-SYS-029","SS-AUS-009","IBM Maximo CMMS","SN-CMM-AU-20190401","2019-04-01","IBM Maximo Asset Management CMMS for preventive maintenance scheduling, calibration records, equipment qualification status and work order management","Red Hat Enterprise Linux 8.9","8.9","2024-10-03"
"AUS-SYS-030","SS-AUS-003","Trackwise Digital","SN-TRK-AU-20210801","2021-08-01","Trackwise Digital regulatory affairs system for FDA inspection readiness, regulatory commitment tracking and field action management","SaaS","2024.09","2024-09-30"
"AUS-SYS-031","SS-AUS-010","Microsoft Active Directory","SN-AD-AU-20170901","2017-09-01","Microsoft Active Directory domain controller providing identity, authentication and group policy management for all Austin plant on-premises systems","Windows Server 2022","22H2","2024-09-18"
"AUS-SYS-032","SS-AUS-010","Microsoft Entra ID","SN-AAD-AU-20200601","2020-06-01","Microsoft Entra ID (Azure Active Directory) tenant providing SSO, MFA and conditional access for cloud and SaaS applications used at the Austin plant","SaaS","Current","2024-10-01"
"AUS-SYS-033","SS-AUS-010","Microsoft 365","SN-M365-AU-20200601","2020-06-01","Microsoft 365 tenant providing Exchange Online email, Teams collaboration, SharePoint document management and OneDrive file storage for Austin plant staff","SaaS","Current","2024-10-01"
"AUS-SYS-034","SS-AUS-010","ServiceNow ITSM","SN-ITSM-AU-20210301","2021-03-01","ServiceNow IT Service Management for helpdesk ticketing, incident management, change advisory board workflow and asset inventory for Austin IT","SaaS","Xanadu","2024-10-08"
"AUS-SYS-035","SS-AUS-010","VMware vSphere","SN-VMW-AU-20170915","2017-09-15","VMware vSphere 8 virtualisation platform (4-host cluster) hosting all Austin on-premises application workloads and databases","VMware ESXi 8.0","8.0 U3","2024-09-10"
"AUS-SYS-036","SS-AUS-010","Veeam Backup & Replication","SN-VBR-AU-20190101","2019-01-01","Veeam Backup & Replication 12 providing daily backup and off-site replication of all Austin on-premises virtual machines and NAS data","Windows Server 2022","22H2","2024-09-18"
"AUS-SYS-037","SS-AUS-011","Palo Alto Networks NGFW","SN-FW-AU-20210601","2021-06-01","Palo Alto Networks PA-5250 next-generation firewall providing perimeter security, IPS and URL filtering for the Austin plant network","PAN-OS","11.1.3","2024-10-10"
"AUS-SYS-038","SS-AUS-011","Splunk Enterprise SIEM","SN-SIEM-AU-20220101","2022-01-01","Splunk Enterprise SIEM aggregating security logs from all Austin systems for threat detection, compliance reporting and forensic investigation","Red Hat Enterprise Linux 8.9","8.9","2024-10-01"
"AUS-SYS-039","SS-AUS-011","Microsoft Purview DLP","SN-DLP-AU-20220601","2022-06-01","Microsoft Purview Data Loss Prevention enforcing data classification policies and preventing exfiltration of sensitive manufacturing and patient data","SaaS","Current","2024-10-01"
"AUS-SYS-040","SS-AUS-010","Cisco Catalyst / Meraki Network","SN-NET-AU-20210601","2021-06-01","Cisco Catalyst 9000 series switching and Cisco Meraki Wi-Fi infrastructure providing segmented OT and IT network connectivity across the Austin plant campus","Cisco IOS-XE / Meraki","17.12.3 / 18.211.2","2024-09-28"
"AUS-SYS-041","SS-AUS-012","Microsoft Power BI Premium","SN-BI-AU-20211101","2021-11-01","Microsoft Power BI Premium capacity connected to SAP ERP, data lake Hive tables and MES for manufacturing KPI dashboards and executive reporting","SaaS","2024.10","2024-10-01"
"AUS-SYS-042","SS-AUS-012","Informatica IDMC","SN-ETL-AU-20200901","2020-09-01","Informatica Intelligent Data Management Cloud — ETL and data integration pipelines moving data between ERP, MES, LIMS, WMS and the Hadoop data lake","SaaS","2024.Q3","2024-09-30"
"AUS-SYS-043","SS-AUS-012","Informatica MDM","SN-MDM-AU-20220301","2022-03-01","Informatica MDM — master data management hub for product, supplier, customer and employee golden records shared across Austin plant systems","Red Hat Enterprise Linux 8.9","8.9","2024-10-02"
"AUS-SYS-044","SS-AUS-012","Esri ArcGIS Enterprise","SN-GIS-AU-20230601","2023-06-01","Esri ArcGIS Enterprise for spatial mapping of supply chain routes, distribution network and cold-chain logistics across the US market","Windows Server 2022","22H2","2024-09-20"
"AUS-SYS-045","SS-AUS-009","SAP EAM","SN-EAM-AU-20230901","2023-09-01","SAP EAM (Extended Warehouse and Asset Management) module integrated with the Austin SAP S/4HANA instance for plant maintenance and capital asset tracking","SUSE Linux Enterprise Server 15 SP5","2024.Q3","2024-09-30"
